ticker,method,bs_avg_smape
ECL,"Hybrid: Gemini for IS, Traditional for BS",5.7729499760032
EQT,"Hybrid: Gemini for IS, Traditional for BS",24.59214561396616
ETR,"Hybrid: Gemini for IS, Traditional for BS",12.815743872582905
FTNT,"Hybrid: Gemini for IS, Traditional for BS",100.0
GL,"Hybrid: Gemini for IS, Traditional for BS",4.582090792224727
HBAN,"Hybrid: Gemini for IS, Traditional for BS",3.941085743213218
HIG,"Hybrid: Gemini for IS, Traditional for BS",5.440648798872423
HRL,"Hybrid: Gemini for IS, Traditional for BS",1.5340105082088542
LYV,"Hybrid: Gemini for IS, Traditional for BS",94.03072494023763
MET,"Hybrid: Gemini for IS, Traditional for BS",23.694516697102866
MMM,"Hybrid: Gemini for IS, Traditional for BS",100.0
MRNA,"Hybrid: Gemini for IS, Traditional for BS",9.800855342116268
MS,"Hybrid: Gemini for IS, Traditional for BS",18.691311178921705
MTCH,"Hybrid: Gemini for IS, Traditional for BS",100.0
MU,"Hybrid: Gemini for IS, Traditional for BS",14.371842759058136
NSC,"Hybrid: Gemini for IS, Traditional for BS",2.4208296707301167
PANW,"Hybrid: Gemini for IS, Traditional for BS",10.271107871983144
PEG,"Hybrid: Gemini for IS, Traditional for BS",2.20294943890862
PEP,"Hybrid: Gemini for IS, Traditional for BS",0.3689808807445907
PG,"Hybrid: Gemini for IS, Traditional for BS",1.2278892029347976
PGR,"Hybrid: Gemini for IS, Traditional for BS",100.0
PM,"Hybrid: Gemini for IS, Traditional for BS",6.028493850319006
PNC,"Hybrid: Gemini for IS, Traditional for BS",100.0
PSX,"Hybrid: Gemini for IS, Traditional for BS",6.994207341430777
REGN,"Hybrid: Gemini for IS, Traditional for BS",100.0
RVTY,"Hybrid: Gemini for IS, Traditional for BS",6.096824998313008
SMCI,"Hybrid: Gemini for IS, Traditional for BS",25.922155462105547
SW,"Hybrid: Gemini for IS, Traditional for BS",45.504946434084154
SYF,"Hybrid: Gemini for IS, Traditional for BS",100.0
TPR,"Hybrid: Gemini for IS, Traditional for BS",22.76391094782272
TRV,"Hybrid: Gemini for IS, Traditional for BS",100.0
TTWO,"Hybrid: Gemini for IS, Traditional for BS",23.40618747842045
UNH,"Hybrid: Gemini for IS, Traditional for BS",5.485541661832484
V,"Hybrid: Gemini for IS, Traditional for BS",100.0
VLTO,"Hybrid: Gemini for IS, Traditional for BS",6.3306697517890544
